# POINT,X,Y,Mach,FLOW_ANG__D,WALTAN,SECDIF
6.000000000000000000e+01,1.847213599999999900e+01,6.094137500000000429e+00,6.779085099999999642e+00,1.124137999999999948e+01,1.987559600000000093e-01,-6.071636200000000115e-03
6.100000000000000000e+01,2.245913300000000135e+01,6.840508699999999997e+00,7.325515499999999847e+00,1.008076600000000056e+01,1.777808100000000113e-01,-4.756457799999999798e-03
6.200000000000000000e+01,2.722438899999999862e+01,7.634025900000000142e+00,7.900787799999999805e+00,8.977841700000000813e+00,1.579880300000000015e-01,-3.709113300000000096e-03
6.300000000000000000e+01,3.287449900000000014e+01,8.469507999999999370e+00,8.500507799999999392e+00,7.970094200000000129e+00,1.400086100000000056e-01,-2.843388699999999884e-03
6.400000000000000000e+01,3.950885900000000106e+01,9.337134300000000664e+00,9.120009100000000757e+00,7.056372999999999784e+00,1.237834099999999965e-01,-2.200771700000000042e-03
6.500000000000000000e+01,4.721542399999999873e+01,1.022846599999999917e+01,9.753291499999999559e+00,6.221531999999999840e+00,1.090150200000000041e-01,-1.734537100000000005e-03
6.600000000000000000e+01,5.606339100000000286e+01,1.112553699999999957e+01,1.039360899999999965e+01,5.456038099999999780e+00,9.551471200000000161e-02,-1.369796699999999970e-03
6.700000000000000000e+01,6.609361199999999315e+01,1.201679700000000039e+01,1.103374200000000016e+01,4.775928799999999974e+00,8.354927700000000512e-02,-1.085885900000000065e-03
6.800000000000000000e+01,7.731139899999999443e+01,1.288743900000000053e+01,1.166643799999999942e+01,4.158721400000000123e+00,7.271111500000000671e-02,-8.721552499999999774e-04
6.900000000000000000e+01,8.968464699999999823e+01,1.372021699999999989e+01,1.228421100000000088e+01,3.616435099999999903e+00,6.320265399999999700e-02,-6.973825999999999593e-04
7.000000000000000000e+01,1.031348700000000065e+02,1.451033100000000076e+01,1.288036499999999940e+01,3.140216300000000071e+00,5.486205699999999880e-02,-5.770938999999999670e-04
7.100000000000000000e+01,1.175443199999999990e+02,1.524094400000000071e+01,1.344857200000000041e+01,2.702953700000000126e+00,4.721046899999999796e-02,-4.865591900000000147e-04
7.200000000000000000e+01,1.327516400000000090e+02,1.590282400000000074e+01,1.398378300000000074e+01,2.320621099999999881e+00,4.052464100000000014e-02,-4.039715900000000128e-04
7.300000000000000000e+01,1.485666999999999973e+02,1.649439699999999931e+01,1.448180200000000006e+01,1.988655899999999921e+00,3.472253799999999724e-02,-3.413519499999999904e-04
7.400000000000000000e+01,1.647721799999999917e+02,1.701253799999999927e+01,1.493990900000000011e+01,1.696292399999999922e+00,2.961454000000000170e-02,-2.935185999999999785e-04
7.500000000000000000e+01,1.811402099999999962e+02,1.745827600000000146e+01,1.535653100000000038e+01,1.441755399999999909e+00,2.516869099999999998e-02,-2.539673400000000132e-04
7.600000000000000000e+01,1.974429399999999930e+02,1.783508700000000147e+01,1.573131599999999963e+01,1.221070899999999959e+00,2.131493500000000013e-02,-2.219022399999999939e-04
7.700000000000000000e+01,2.134627700000000061e+02,1.814823799999999920e+01,1.606501499999999893e+01,1.030532100000000062e+00,1.798811900000000033e-02,-1.956854700000000135e-04
7.800000000000000000e+01,2.290031999999999925e+02,1.840426899999999932e+01,1.635929799999999901e+01,8.666891599999999585e-01,1.512773300000000085e-02,-1.740929500000000117e-04
7.900000000000000000e+01,2.438954899999999952e+02,1.861032600000000059e+01,1.661654599999999959e+01,7.263194299999999881e-01,1.267734499999999959e-02,-1.561605299999999921e-04
8.000000000000000000e+01,2.580061900000000037e+02,1.877371499999999926e+01,1.683958300000000108e+01,6.065020899999999937e-01,1.058585400000000044e-02,-1.411045699999999954e-04
8.100000000000000000e+01,2.712347599999999943e+02,1.890143300000000082e+01,1.703157900000000069e+01,5.046188000000000340e-01,8.807487200000000196e-03,-1.283684900000000087e-04
8.200000000000000000e+01,2.835166399999999953e+02,1.899994399999999928e+01,1.719578399999999974e+01,4.182542899999999730e-01,7.300044099999999925e-03,-1.175049700000000053e-04
8.300000000000000000e+01,2.948184699999999907e+02,1.907495199999999969e+01,1.733542100000000019e+01,3.452852599999999827e-01,6.026437699999999745e-03,-1.081490500000000009e-04
8.400000000000000000e+01,3.051352099999999723e+02,1.913137700000000052e+01,1.745356400000000008e+01,2.838099800000000172e-01,4.953459099999999934e-03,-1.000121400000000002e-04
8.500000000000000000e+01,3.144844600000000128e+02,1.917331799999999831e+01,1.755307300000000126e+01,2.321749100000000121e-01,4.052238700000000346e-03,-9.286479399999999584e-05
8.600000000000000000e+01,3.229018599999999992e+02,1.920413999999999888e+01,1.763654700000000020e+01,1.889213499999999879e-01,3.297311600000000023e-03,-8.651835900000000279e-05
8.700000000000000000e+01,3.304359299999999848e+02,1.922652499999999876e+01,1.770630600000000143e+01,1.527983199999999875e-01,2.666840100000000217e-03,-8.082069399999999371e-05
8.800000000000000000e+01,3.371443300000000249e+02,1.924259699999999995e+01,1.776438299999999870e+01,1.227134899999999945e-01,2.141757800000000048e-03,-7.562518100000000367e-05
8.900000000000000000e+01,3.430894499999999994e+02,1.925399099999999919e+01,1.781254699999999858e+01,9.775246999999999409e-02,1.706104099999999988e-03,-7.082085800000000335e-05
9.000000000000000000e+01,3.483360500000000002e+02,1.926196799999999953e+01,1.785232099999999988e+01,7.711535999999999391e-02,1.345917799999999916e-03,-6.629288099999999817e-05
9.100000000000000000e+01,3.529485700000000179e+02,1.926746899999999840e+01,1.788500200000000007e+01,6.014360400000000328e-02,1.049704299999999930e-03,-6.194833899999999777e-05
9.200000000000000000e+01,3.569900799999999776e+02,1.927120499999999836e+01,1.791169199999999861e+01,4.625956299999999660e-02,8.073818599999999521e-04,-5.767519999999999966e-05
9.300000000000000000e+01,3.605204299999999762e+02,1.927369399999999899e+01,1.793332699999999846e+01,3.499677699999999975e-02,6.108090699999999635e-04,-5.339346800000000214e-05
9.400000000000000000e+01,3.635965800000000172e+02,1.927532100000000170e+01,1.795069700000000168e+01,2.593744400000000047e-02,4.526938400000000019e-04,-4.899116099999999943e-05
9.500000000000000000e+01,3.662715699999999970e+02,1.927635499999999880e+01,1.796447099999999963e+01,1.874989700000000148e-02,3.272474500000000105e-04,-4.438594899999999871e-05
9.600000000000000000e+01,3.685951999999999771e+02,1.927699600000000046e+01,1.797521599999999964e+01,1.313088400000000065e-02,2.291771700000000032e-04,-3.948341000000000285e-05
9.700000000000000000e+01,3.706138599999999883e+02,1.927737700000000132e+01,1.798341999999999885e+01,8.837724400000000063e-03,1.542473900000000024e-04,-3.422337499999999994e-05
9.800000000000000000e+01,3.723712400000000002e+02,1.927759500000000159e+01,1.798950500000000119e+01,5.645554199999999745e-03,9.853350899999999905e-05,-2.860585300000000145e-05
9.900000000000000000e+01,3.739086300000000165e+02,1.927771200000000107e+01,1.799383999999999872e+01,3.364435099999999856e-03,5.872046999999999922e-05,-2.268144300000000035e-05
1.000000000000000000e+02,3.752656299999999874e+02,1.927777100000000132e+01,1.799675699999999878e+01,1.821582100000000010e-03,3.179260600000000092e-05,-1.671043000000000054e-05
1.010000000000000000e+02,3.764805000000000064e+02,1.927779699999999963e+01,1.799855900000000020e+01,8.536749500000000114e-04,1.489943900000000004e-05,-1.101087900000000080e-05
1.020000000000000000e+02,3.775905700000000138e+02,1.927780699999999925e+01,1.799952800000000153e+01,3.215735399999999759e-04,5.612517099999999824e-06,-6.154630399999999646e-06
1.030000000000000000e+02,3.786322599999999738e+02,1.927780900000000130e+01,1.799992999999999910e+01,7.809327300000000612e-05,1.362984700000000101e-06,-2.628982500000000202e-06
1.040000000000000000e+02,3.796404499999999871e+02,1.927780999999999878e+01,1.800001100000000065e+01,7.322935300000000374e-06,1.278093300000000091e-07,-6.758107699999999489e-07
1.050000000000000000e+02,3.806479499999999803e+02,1.927780999999999878e+01,1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
