# POINT,X_over_YO,Y_over_YO,INT_Y_over_YO,PAR_over_YO,HYP_over_YO,C_Y,C_YI,C_YP
7.600000000000000000e+01,1.973806484000000125e+02,1.782946000000000097e+01,1.783027009999999990e+01,3.247593363599999975e+03,8.058651700000000062e+01,4.200075000000000271e-04,4.200073999999999930e-04,2.812817000000000008e-04
7.700000000000000000e+01,2.133954259999999863e+02,1.814251229999999993e+01,1.814311479999999932e+01,3.795800653199999942e+03,8.712405699999999342e+01,3.887472999999999905e-04,3.887472000000000106e-04,2.602091999999999752e-04
7.800000000000000000e+01,2.289309523000000013e+02,1.839846310000000074e+01,1.839896720000000130e+01,4.368448409700000411e+03,9.346601959999999565e+01,3.625607000000000200e-04,3.625605999999999859e-04,2.425775999999999931e-04
7.900000000000000000e+01,2.438185469999999953e+02,1.860445490000000035e+01,1.860483350000000158e+01,4.954956990200000291e+03,9.954352810000000318e+01,3.405697000000000065e-04,3.405696000000000266e-04,2.277850999999999953e-04
8.000000000000000000e+01,2.579248003999999810e+02,1.876779200000000003e+01,1.876810349999999872e+01,5.544766887599999791e+03,1.053021071999999947e+02,3.220561000000000148e-04,3.220561000000000148e-04,2.153413999999999979e-04
8.100000000000000000e+01,2.711491909999999734e+02,1.889547010000000071e+01,1.889571340000000177e+01,6.127823646099999678e+03,1.107007104000000055e+02,3.064362000000000054e-04,3.064362000000000054e-04,2.048492999999999972e-04
8.200000000000000000e+01,2.834271929000000227e+02,1.899395020000000045e+01,1.899414670000000172e+01,6.695247805400000289e+03,1.157129881000000040e+02,2.932298999999999756e-04,2.932298999999999756e-04,1.959832000000000110e-04
8.300000000000000000e+01,2.947254591999999889e+02,1.906893399999999872e+01,1.906909140000000136e+01,7.239591360600000371e+03,1.203253203999999954e+02,2.820432000000000104e-04,2.820432000000000104e-04,1.884761999999999896e-04
8.400000000000000000e+01,3.050389433999999937e+02,1.912534180000000106e+01,1.912546740000000156e+01,7.755063081700000112e+03,1.245356421000000040e+02,2.725506000000000261e-04,2.725506000000000261e-04,1.821083999999999995e-04
8.500000000000000000e+01,3.143852436000000239e+02,1.916726900000000100e+01,1.916737249999999904e+01,8.237506784900000639e+03,1.283511339000000078e+02,2.644829000000000017e-04,2.644829000000000017e-04,1.766980000000000081e-04
8.600000000000000000e+01,3.227999879000000192e+02,1.919808159999999830e+01,1.919816399999999845e+01,8.684319348799999716e+03,1.317863373000000138e+02,2.576168000000000099e-04,2.576168000000000099e-04,1.720946000000000108e-04
8.700000000000000000e+01,3.303316846000000169e+02,1.922045920000000052e+01,1.922052830000000156e+01,9.094251821399999244e+03,1.348610530999999924e+02,2.517662000000000155e-04,2.517662000000000155e-04,1.681730000000000041e-04
8.800000000000000000e+01,3.370379687000000217e+02,1.923652680000000004e+01,1.923658119999999982e+01,9.467216026899999633e+03,1.375988083000000017e+02,2.467756999999999893e-04,2.467756999999999893e-04,1.648284000000000023e-04
8.900000000000000000e+01,3.429812137999999777e+02,1.924791719999999984e+01,1.924796350000000089e+01,9.804009420099999261e+03,1.400250650000000121e+02,2.425154000000000057e-04,2.425154000000000057e-04,1.619736000000000038e-04
