# POINT,X,Y,Mach,FLOW_ANG__D,WALTAN,SECDIF
2.800000000000000000e+01,5.581571000000000282e+00,1.596455600000000086e+00,2.028066200000000041e+00,1.040826700000000038e+01,1.836834900000000048e-01,2.359056299999999842e-02
2.900000000000000000e+01,1.340961099999999995e+01,3.723217200000000116e+00,3.951930400000000176e+00,1.818174399999999835e+01,3.284302299999999897e-01,1.467450000000000004e-02
3.000000000000000000e+01,2.301967099999999888e+01,7.548916700000000368e+00,4.386053900000000283e+00,2.299778999999999840e+01,4.244293000000000093e-01,7.605337900000000081e-03
3.100000000000000000e+01,3.772498999999999825e+01,1.438290199999999963e+01,4.892171900000000129e+00,2.576293599999999984e+01,4.826210599999999906e-01,2.662619499999999920e-03
3.200000000000000000e+01,5.973940400000000039e+01,2.559718600000000066e+01,5.459803899999999821e+00,2.649958799999999925e+01,4.985726300000000166e-01,-1.665751299999999923e-04
3.300000000000000000e+01,9.242818699999999410e+01,4.136905699999999797e+01,6.077565299999999837e+00,2.422159699999999916e+01,4.498709599999999864e-01,-1.652742299999999899e-03
3.400000000000000000e+01,1.392559200000000033e+02,6.024762199999999979e+01,6.733766799999999719e+00,1.987746699999999933e+01,3.615501999999999883e-01,-1.692929599999999906e-03
3.500000000000000000e+01,2.041028599999999926e+02,7.995745499999999595e+01,7.416957700000000209e+00,1.506222999999999956e+01,2.691136199999999978e-01,-1.182152899999999989e-03
3.600000000000000000e+01,2.910930599999999799e+02,9.930319400000000485e+01,8.116342899999999361e+00,1.101600900000000038e+01,1.946702899999999958e-01,-6.587747500000000304e-04
3.700000000000000000e+01,4.041175600000000259e+02,1.172350799999999964e+02,8.822066500000000033e+00,8.482622900000000854e+00,1.491409499999999944e-01,-2.832237199999999779e-04
3.800000000000000000e+01,5.464515900000000101e+02,1.367575999999999965e+02,9.525376400000000743e+00,7.421943699999999922e+00,1.302667899999999934e-01,-1.097790799999999993e-04
3.900000000000000000e+01,7.203567100000000210e+02,1.579470200000000091e+02,1.021869599999999956e+01,6.618185900000000288e+00,1.160256100000000012e-01,-7.096109599999999630e-05
4.000000000000000000e+01,9.272727800000000116e+02,1.805219700000000103e+02,1.089562699999999928e+01,5.939307600000000242e+00,1.040333700000000000e-01,-5.497133700000000125e-05
4.100000000000000000e+01,1.166960100000000011e+03,2.040501600000000053e+02,1.155089300000000030e+01,5.238598099999999924e+00,9.168641499999999334e-02,-5.007965900000000217e-05
4.200000000000000000e+01,1.438381399999999985e+03,2.269454800000000034e+02,1.218026399999999931e+01,4.490461700000000000e+00,7.853420299999999687e-02,-4.328025799999999805e-05
4.300000000000000000e+01,1.738645800000000008e+03,2.485935100000000091e+02,1.278044599999999953e+01,3.847815399999999997e+00,6.725819099999999495e-02,-3.382821700000000233e-05
4.400000000000000000e+01,2.064472099999999955e+03,2.687973200000000134e+02,1.334896900000000031e+01,3.293923700000000121e+00,5.755323300000000225e-02,-2.736228800000000110e-05
4.500000000000000000e+01,2.410825699999999870e+03,2.870909899999999766e+02,1.388407400000000003e+01,2.803445400000000198e+00,4.896843699999999661e-02,-2.273498199999999909e-05
