# Untitled0,STA_IN,Y_IN,DELR_IN,R_IN,DY_over_DX,D2Y_over_DX2,DA_over_DX,DR_over_DX,MACH_NO,_____DM_over_DX,PE_over_PO,BETA
3.100000000000000000e+01,1.545765999999999973e+00,1.279460999999999959e+00,1.933669999999999833e-02,1.298797399999999991e+00,6.674917999999999685e-01,-3.159562000000000204e-01,1.248269999999999935e-02,6.799745000000000372e-01,2.804014200000000123e+00,2.493160000000000098e-01,3.662300000000000277e-02,-1.290199999999999958e-01
3.200000000000000000e+01,1.921499000000000068e+00,1.507887999999999895e+00,2.423459999999999850e-02,1.532122900000000065e+00,5.678866000000000192e-01,-2.157159999999999911e-01,1.385070000000000051e-02,5.817373999999999601e-01,2.894127300000000069e+00,2.300030000000000130e-01,3.193399999999999711e-02,-1.390800000000000092e-01
3.300000000000000000e+01,2.365836999999999968e+00,1.739168999999999965e+00,3.081729999999999886e-02,1.769985799999999943e+00,4.979834000000000205e-01,-1.224211999999999939e-01,1.580619999999999942e-02,5.137895999999999574e-01,2.991160999999999959e+00,2.084649000000000085e-01,2.758700000000000041e-02,-1.452100000000000057e-01
3.400000000000000000e+01,2.886951999999999963e+00,1.984909999999999952e+00,3.966019999999999962e-02,2.024570600000000109e+00,4.555165999999999937e-01,-6.911480000000000401e-02,1.787009999999999987e-02,4.733866999999999936e-01,3.093736400000000053e+00,1.871134000000000130e-01,2.366800000000000154e-02,-1.479499999999999982e-01
3.500000000000000000e+01,3.494375999999999927e+00,2.250236999999999821e+00,5.115270000000000233e-02,2.301389200000000024e+00,4.222982000000000125e-01,-4.933110000000000273e-02,1.983270000000000172e-02,4.421308999999999934e-01,3.200508099999999967e+00,1.667173000000000127e-01,2.021299999999999833e-02,-1.484300000000000064e-01
3.600000000000000000e+01,4.196304999999999730e+00,2.534892999999999841e+00,6.581410000000000038e-02,2.600706800000000207e+00,3.920159999999999756e-01,-4.150240000000000179e-02,2.181249999999999856e-02,4.138284999999999880e-01,3.310182499999999806e+00,1.480274000000000034e-01,1.721999999999999920e-02,-1.475200000000000122e-01
3.700000000000000000e+01,4.999596999999999625e+00,2.837368999999999808e+00,8.418649999999999745e-02,2.921555099999999960e+00,3.601842000000000099e-01,-3.908709999999999962e-02,2.377949999999999856e-02,3.839638000000000218e-01,3.421535299999999946e+00,1.312834999999999974e-01,1.466399999999999995e-02,-1.458200000000000052e-01
3.800000000000000000e+01,5.909469999999999779e+00,3.148229000000000166e+00,1.067588000000000009e-01,3.254987700000000039e+00,3.251758000000000148e-01,-3.614180000000000170e-02,2.582440000000000083e-02,3.510002999999999873e-01,3.533425199999999933e+00,1.165149000000000046e-01,1.250399999999999949e-02,-1.438300000000000134e-01
3.900000000000000000e+01,6.928683000000000369e+00,3.460840999999999834e+00,1.342395999999999867e-01,3.595080900000000135e+00,2.910047000000000050e-01,-3.093210000000000057e-02,2.802750000000000033e-02,3.190321999999999880e-01,3.644805499999999920e+00,1.036331000000000058e-01,1.069299999999999938e-02,-1.416600000000000081e-01
4.000000000000000000e+01,8.057537999999999201e+00,3.769695000000000018e+00,1.672098999999999946e-01,3.936905299999999830e+00,2.593312999999999868e-01,-2.581100000000000061e-02,3.030659999999999951e-02,2.896379000000000037e-01,3.754731000000000041e+00,9.247460000000000402e-02,9.181999999999999190e-03,-1.393800000000000039e-01
4.100000000000000000e+01,9.293136999999999759e+00,4.070827999999999669e+00,2.061439999999999939e-01,4.276972299999999727e+00,2.304781999999999942e-01,-2.152379999999999918e-02,3.260419999999999985e-02,2.630823999999999940e-01,3.862361200000000050e+00,8.285679999999999434e-02,7.925899999999999612e-03,-1.370899999999999896e-01
