# Untitled0,STA_IN,Y_IN,DELR_IN,R_IN,DY_over_DX,D2Y_over_DX2,DA_over_DX,DR_over_DX,MACH_NO,_____DM_over_DX,PE_over_PO,BETA
2.500000000000000000e+01,2.224069999999999936e-01,5.084220000000000406e-01,1.815299999999999943e-03,5.102368999999999932e-01,7.500700000000000423e-02,3.524707999999999730e-01,2.495499999999999888e-03,7.750250000000000195e-02,1.303852100000000069e+00,1.249332300000000062e+00,3.255100000000000215e-01,-6.511599999999999611e-01
2.600000000000000000e+01,2.346989999999999910e-01,5.093699999999999894e-01,1.846999999999999901e-03,5.112172000000000383e-01,7.932300000000000462e-02,3.498235000000000094e-01,2.586300000000000144e-03,8.190930000000000433e-02,1.319745699999999911e+00,1.284514200000000050e+00,3.184100000000000263e-01,-6.660300000000000109e-01
2.700000000000000000e+01,2.472989999999999911e-01,5.103969999999999896e-01,1.879699999999999991e-03,5.122771999999999881e-01,8.371430000000000538e-02,3.480526999999999926e-01,2.626299999999999815e-03,8.634060000000000346e-02,1.335822099999999901e+00,1.267730299999999977e+00,3.113500000000000156e-01,-6.539800000000000058e-01
2.800000000000000000e+01,2.602269999999999861e-01,5.115089999999999915e-01,1.913999999999999903e-03,5.134227000000000096e-01,8.820759999999999712e-02,3.490061999999999887e-01,2.730999999999999921e-03,9.093859999999999444e-02,1.352102300000000090e+00,1.294389800000000035e+00,3.043399999999999994e-01,-6.645499999999999741e-01
2.900000000000000000e+01,2.736859999999999848e-01,5.127270000000000438e-01,1.951800000000000063e-03,5.146792999999999507e-01,9.292499999999999372e-02,3.553535999999999917e-01,2.846700000000000185e-03,9.577170000000000127e-02,1.370014999999999983e+00,1.335163199999999994e+00,2.967899999999999983e-01,-6.816799999999999526e-01
3.000000000000000000e+01,2.876250000000000195e-01,5.140569999999999862e-01,1.991999999999999847e-03,5.160491000000000383e-01,9.794859999999999678e-02,3.679007000000000249e-01,2.913400000000000017e-03,1.008619999999999933e-01,1.388688399999999934e+00,1.330975999999999937e+00,2.891000000000000236e-01,-6.756299999999999528e-01
3.100000000000000000e+01,3.019789999999999974e-01,5.155009999999999870e-01,2.034300000000000171e-03,5.175351000000000257e-01,1.033403999999999989e-01,3.859363000000000099e-01,3.045400000000000190e-03,1.063858000000000026e-01,1.407665100000000002e+00,1.363397399999999982e+00,2.814599999999999880e-01,-6.882399999999999629e-01
3.200000000000000000e+01,3.169750000000000068e-01,5.170940000000000536e-01,2.081599999999999857e-03,5.191751999999999478e-01,1.092891000000000001e-01,3.993465999999999960e-01,3.189099999999999834e-03,1.124782000000000004e-01,1.428757599999999961e+00,1.407280700000000051e+00,2.731799999999999784e-01,-7.057600000000000540e-01
3.300000000000000000e+01,3.325009999999999910e-01,5.188399999999999679e-01,2.131699999999999828e-03,5.209715999999999791e-01,1.155320999999999987e-01,3.933519999999999794e-01,3.283200000000000007e-03,1.188152999999999987e-01,1.450619000000000103e+00,1.412767300000000059e+00,2.648400000000000198e-01,-7.037499999999999867e-01
3.400000000000000000e+01,3.485619999999999830e-01,5.207460000000000422e-01,2.185299999999999829e-03,5.229316000000000519e-01,1.217043000000000014e-01,3.689446000000000114e-01,3.454399999999999832e-03,1.251587000000000116e-01,1.473387199999999897e+00,1.459278599999999981e+00,2.564000000000000168e-01,-7.220100000000000406e-01
3.500000000000000000e+01,3.653730000000000033e-01,5.228450000000000042e-01,2.245399999999999827e-03,5.250905000000000156e-01,1.276362000000000052e-01,3.274993999999999961e-01,3.594700000000000152e-03,1.312309000000000114e-01,1.498651299999999909e+00,1.492215599999999975e+00,2.473200000000000121e-01,-7.326399999999999579e-01
3.600000000000000000e+01,3.827880000000000171e-01,5.251179999999999737e-01,2.308399999999999948e-03,5.274265999999999677e-01,1.328822000000000059e-01,2.909357000000000193e-01,3.790099999999999806e-03,1.366722999999999966e-01,1.524447200000000002e+00,1.541887299999999961e+00,2.383599999999999886e-01,-7.513400000000000079e-01
3.700000000000000000e+01,4.010250000000000203e-01,5.275870000000000282e-01,2.380800000000000190e-03,5.299673999999999774e-01,1.379913000000000112e-01,3.270715000000000150e-01,4.034199999999999939e-03,1.420253999999999961e-01,1.553724700000000070e+00,1.600533699999999948e+00,2.285699999999999954e-01,-7.731400000000000494e-01
3.800000000000000000e+01,4.199620000000000020e-01,5.302519999999999456e-01,2.458399999999999908e-03,5.327100999999999642e-01,1.451079000000000119e-01,4.703572999999999782e-01,4.338999999999999975e-03,1.494469999999999965e-01,1.583939200000000103e+00,1.660060899999999950e+00,2.188599999999999990e-01,-7.945900000000000185e-01
3.900000000000000000e+01,4.398210000000000175e-01,5.332249999999999490e-01,2.549599999999999957e-03,5.357741000000000309e-01,1.564180000000000015e-01,7.217538999999999483e-01,4.798900000000000041e-03,1.612168999999999963e-01,1.618251099999999942e+00,1.762677800000000072e+00,2.083200000000000052e-01,-8.341800000000000326e-01
4.000000000000000000e+01,4.605739999999999834e-01,5.366159999999999819e-01,2.653700000000000156e-03,5.392700999999999745e-01,1.746979999999999922e-01,1.037582999999999922e+00,5.318100000000000084e-03,1.800161000000000122e-01,1.655588599999999966e+00,1.855703899999999962e+00,1.973999999999999921e-01,-8.659400000000000430e-01
4.100000000000000000e+01,4.823149999999999937e-01,5.406710000000000127e-01,2.776199999999999935e-03,5.434470000000000134e-01,2.008254999999999901e-01,1.307015100000000096e+00,6.049800000000000143e-03,2.068753000000000120e-01,1.697220900000000032e+00,2.017825699999999944e+00,1.859000000000000097e-01,-9.248199999999999754e-01
4.200000000000000000e+01,5.051870000000000527e-01,5.456090000000000106e-01,2.924599999999999856e-03,5.485337999999999603e-01,2.332529000000000130e-01,1.463653700000000057e+00,7.101500000000000173e-03,2.403542999999999930e-01,1.745849599999999890e+00,2.304830500000000004e+00,1.733000000000000096e-01,-1.031400000000000095e+00
4.300000000000000000e+01,5.293130000000000335e-01,5.516780000000000017e-01,3.111500000000000116e-03,5.547893999999999881e-01,2.697325999999999890e-01,1.461008899999999944e+00,9.748899999999999580e-03,2.794815999999999967e-01,1.806003699999999990e+00,3.147485200000000205e+00,1.588900000000000035e-01,-1.362600000000000033e+00
4.400000000000000000e+01,5.549979999999999913e-01,5.591030000000000166e-01,3.416600000000000106e-03,5.625198000000000143e-01,3.058614000000000055e-01,1.252716399999999952e+00,2.152509999999999840e-02,3.273865000000000247e-01,1.904732199999999986e+00,6.512769099999999867e+00,1.378399999999999903e-01,-2.663899999999999935e+00
4.500000000000000000e+01,5.940819999999999990e-01,5.720549999999999802e-01,4.831700000000000404e-03,5.768868000000000329e-01,3.456700999999999802e-01,8.140509000000000217e-01,2.187650000000000011e-02,3.675466000000000011e-01,2.318019200000000168e+00,5.724357499999999987e+00,7.683800000000000352e-02,-1.986499999999999932e+00
4.600000000000000000e+01,6.290050000000000363e-01,5.845730000000000093e-01,5.148599999999999705e-03,5.897211999999999454e-01,3.677186000000000066e-01,5.612568999999999475e-01,8.173100000000000850e-03,3.758916999999999953e-01,2.366600200000000154e+00,1.376827299999999976e+00,7.185600000000000320e-02,-4.821300000000000030e-01
