# POINT,X_over_YO,Y_over_YO,INT_Y_over_YO,PAR_over_YO,HYP_over_YO,C_Y,C_YI,C_YP
4.200000000000000000e+01,2.652745509999999740e+02,5.770695369999999969e+01,5.768372279999999819e+01,8.806323426999999811e+02,4.195550839999999937e+01,4.408326000000000253e-05,4.408450000000000118e-05,3.090008999999999844e-05
4.300000000000000000e+01,3.108628087000000164e+02,6.227668969999999860e+01,6.227599880000000354e+01,1.208946072700000059e+03,4.916189729999999969e+01,3.817086000000000133e-05,3.817088000000000273e-05,2.648374999999999864e-05
4.400000000000000000e+01,3.593440315999999939e+02,6.648676519999999357e+01,6.648713739999999461e+01,1.615101662699999906e+03,5.682607959999999991e+01,3.337430000000000333e-05,3.337429000000000263e-05,2.298172999999999926e-05
4.500000000000000000e+01,4.100721168000000034e+02,7.026885740000000169e+01,7.026831769999999722e+01,2.102989261900000201e+03,6.484580579999999372e+01,2.947792999999999984e-05,2.947792999999999984e-05,2.018435999999999999e-05
4.600000000000000000e+01,4.623605130000000258e+02,7.360393910000000517e+01,7.360379969999999616e+01,2.673215549900000042e+03,7.311245519999999942e+01,2.630063999999999964e-05,2.630063999999999964e-05,1.793135999999999970e-05
4.700000000000000000e+01,5.154540580000000318e+02,7.648555090000000689e+01,7.648517250000000445e+01,3.322161073499999929e+03,8.150657730000000356e+01,2.369928000000000055e-05,2.369929000000000125e-05,1.610410000000000053e-05
4.800000000000000000e+01,5.686163282999999637e+02,7.892828710000000569e+01,7.892785920000000033e+01,4.042556610600000113e+03,8.991169680000000142e+01,2.155930999999999942e-05,2.155932000000000012e-05,1.461189999999999981e-05
4.900000000000000000e+01,6.210857989999999518e+02,8.095372070000000519e+01,8.095347719999999470e+01,4.822844621700000062e+03,9.820737880000000075e+01,1.979232000000000162e-05,1.979232000000000162e-05,1.338680999999999931e-05
5.000000000000000000e+01,6.721711688999999978e+02,8.259873430000000383e+01,8.259815340000000106e+01,5.648676003999999921e+03,1.062842980000000068e+02,1.832776999999999884e-05,1.832776999999999884e-05,1.237599999999999975e-05
5.100000000000000000e+01,7.211891584999999623e+02,8.390093760000000600e+01,8.390079420000000709e+01,6.502422528899999634e+03,1.140344029999999975e+02,1.711146999999999831e-05,1.711147999999999901e-05,1.153955999999999934e-05
5.200000000000000000e+01,7.675665274000000409e+02,8.490756570000000636e+01,8.490690680000000157e+01,7.365479675300000054e+03,1.213670438999999988e+02,1.609969000000000035e-05,1.609969000000000035e-05,1.084578999999999971e-05
5.300000000000000000e+01,8.107599907000000030e+02,8.566116250000000321e+01,8.566108800000000656e+01,8.217647032000000763e+03,1.281963106000000039e+02,1.525878000000000064e-05,1.525878000000000064e-05,1.027052999999999973e-05
5.400000000000000000e+01,8.503649688000000424e+02,8.620935420000000704e+01,8.620865510000000143e+01,9.040007252400000652e+03,1.344582259000000022e+02,1.456100000000000001e-05,1.456100000000000001e-05,9.794093000000000826e-06
5.500000000000000000e+01,8.860199288000000024e+02,8.659115439999999353e+01,8.659112460000000056e+01,9.813891427299999123e+03,1.400956204000000014e+02,1.398497999999999938e-05,1.398497999999999938e-05,9.401387999999999984e-06
